kind,k,seed,total_structure_proxy,target_alignment,tre_proxy,transfer_accuracy
relevant_mid,4,102942,7.1695492490073445,0.9965948428991617,7.145135807472277,0.858
mixed_budget_limited,4,102943,21.318660518815232,0.0007843974973759755,0.016722303958366685,0.49925
relevant_high,4,102944,24.774530361459462,0.9996459896978577,24.76575992248077,0.8575
random,12,103020,1.0052083521797246,0.41549000182027845,0.4176540200769129,0.58475
irrelevant_high,12,103021,42.30772848388325,0.09460620675078106,4.002573708102168,0.55775
relevant_mid,12,103022,7.188859032356847,0.9974590214058195,7.1705922954390475,0.6265
mixed_budget_limited,12,103023,40.19777119555665,0.9978023172190844,40.10942924596899,0.69875
relevant_high,12,103024,24.208186104696974,0.9995950211239556,24.19838230069722,0.64525
random,4,103040,0.492770337944499,0.17961146072732773,0.0885072002013104,0.59275
irrelevant_high,4,103041,22.0952708659933,0.00017902788251241005,0.003955669556676925,0.5115
relevant_mid,4,103042,7.113920370447807,0.995751930623345,7.083699943174145,0.81625
mixed_budget_limited,4,103043,20.852969160937548,0.0010738802484987688,0.022393591704484777,0.5115
relevant_high,4,103044,24.577603102994704,0.9993493969343765,24.561612839070218,0.81225
random,12,103120,0.9548733151145679,0.30870409109427865,0.2947732988526234,0.551
irrelevant_high,12,103121,42.24917089612047,0.19297881172103598,8.153194795732304,0.4585
relevant_mid,12,103122,7.111182606176008,0.9969820007880906,7.089721062674825,0.72625
mixed_budget_limited,12,103123,40.13348079253704,0.9978345353292785,40.046573157767725,0.74375
relevant_high,12,103124,24.753720261258298,0.9992355295548195,24.7347967737103,0.79525
random,4,103140,0.4534324188976935,0.1086595720594719,0.04926977259531457,0.44075
irrelevant_high,4,103141,22.044979926076515,0.00011338381452176768,0.0024995439150743513,0.50325
relevant_mid,4,103142,7.180034588037579,0.9971512923577017,7.15958076863467,0.8335
mixed_budget_limited,4,103143,20.9206220925092,0.0006200491355659968,0.012971813643963223,0.5105
relevant_high,4,103144,24.563196793489976,0.9994596191633509,24.549923312655935,0.82825
random,12,103220,0.9325108953720023,0.5472509880174722,0.5103175088293859,0.66175
irrelevant_high,12,103221,42.57632247341741,0.2756901052290784,11.737870822963622,0.58825
relevant_mid,12,103222,6.944991249876347,0.998200539049576,6.932494009321158,0.73775
mixed_budget_limited,12,103223,39.791701109023926,0.9988838120522862,39.747286091827,0.72175
relevant_high,12,103224,24.506622285393263,0.999729510391544,24.49999349872671,0.75525
random,4,103240,0.47216440120606484,0.14241582083995247,0.06724368076916637,0.5355
irrelevant_high,4,103241,21.812098732951917,7.972229707382182e-05,0.0017389106149919252,0.501
relevant_mid,4,103242,7.090962387155408,0.9971240820827907,7.070569361375931,0.83025
mixed_budget_limited,4,103243,21.01195445317598,0.00022618325631904666,0.004752552279846837,0.49625
relevant_high,4,103244,24.314855008113078,0.9993500311266322,24.299051109197354,0.832
